sub,anger_high,disgust_high,fear_high,happy_high,neutral_high,pain_high,sad_high,anger_low,disgust_low,fear_low,happy_low,neutral_low,pain_low,sad_low
02,-4,-4,-4,4,0,-3.75,-4,-2.75,-2.25,-2.5,2,0,-2.75,-3
03,-2.75,-2,-3,3,0,-3.25,-3,-1.5,-1.25,-1.25,2,0,-1.5,-1.75
05,-3.5,-2.25,-3,4,-1,-3,-4,-1.25,-1.25,-1.75,2,-0.25,-1.25,-2.5
07,-3,-3.25,-1.5,2.75,0.25,-3,-3,-2.25,-1.5,-1,2,0.25,-1,-1.5
09,-2.25,-3.25,-2.5,3.25,0,-3.25,-4,-2,-2,-1.5,1.75,0,-2.25,-2.25
10,-4,-3.25,-1.75,3.5,-1,-2.25,-4,-2.5,-3.25,-2.25,2.25,0,-1.75,-2.5
11,-3,-2.5,-3,3,0,-3,-2.75,-1.75,-1.5,-1.25,1.75,0,-1.25,-1.75
12,-2,-2,-3.25,3.25,0,-2.75,-4,-1,-1,-1.25,1.5,0,-1.25,-2.25
14,-2.75,-2.25,-4,2.5,0,-3.75,-3.25,-1.25,-1.25,-1.75,1.75,0.25,-2,-1.75
15,2,2,2,1.75,2,2,2,0,0,0,2,2,2,2
16,-1.5,-0.5,0.75,2.25,-1.5,-0.25,-0.5,-0.75,-2,-1.75,1,-1.75,-0.75,-2.5
18,-3.5,-2.25,-3,3.5,-0.25,-4,-4,-2.5,-2.5,-1.75,1.5,-0.25,-2.5,-2
19,-2.75,-2.5,-2.25,2.75,-0.75,-1.25,-3.75,-1.75,-2.5,-1.25,2.5,-0.75,-2.5,-1.75
20,-1.5,-1.75,-2.25,2.75,0,-3.25,-4,-1.25,-1,-1,1,0,-1.75,-2.5
21,-4,-3,-3.5,2.75,-0.5,-4,-4,-3.25,-1.5,-2.25,1.25,0,-2.5,-3.25
22,-3,-2.25,-2.75,2,0,-3.25,-3.5,-1.25,-1.25,-1,1,0,-1.5,-2
23,-3.25,-2.25,-3.5,2.5,0,-3.5,-3.5,-1.5,-2.75,-1.75,1.25,0,-1.5,-1.25
24,-2.75,-2,-2,2.5,0.25,-3,-3,-1.25,-0.75,-1,1.25,0,-1.5,-1.5
26,-3.5,-4,-4,4,0,-3.5,-4,-2.5,-2,-2,2,0,-2,-2
27,-2.5,-1.75,-2.5,3.25,-0.5,-2.5,-3,-1.5,-0.75,-0.5,2,0,-1.25,-1.5
28,-3.5,-3.25,-3.75,4,-0.25,-3.75,-2.75,-2.25,-1.25,-1.25,2,0,-1.75,-2
29,-3,-2.5,-2.75,2.75,0,-2.75,-3.25,-1.25,-1,-1.25,1.25,0.25,-1.25,-2
30,-2.5,-4,-4,3.5,0,-4,-4,-2,-2,-2,2,-0.5,-2,-2
31,-2.75,-1,-2.75,4,1.25,-2.75,-4,-1.25,-0.25,-1,3.75,1,-0.75,-1.25
32,-2.5,-2.25,-3.5,2.75,-0.75,-3.25,-3.5,-1.75,-1.75,-1.5,1.75,0.25,-2,-2
34,-3.5,-3.5,-4,3,0,-4,-3.5,-2,-2,-2,2,0,-2,-2.5
