sub,arousal_anger,arousal_disgust,arousal_fear,arousal_happy,arousal_pain,arousal_sad,valence_anger,valence_disgust,valence_fear,valence_happy,valence_pain,valence_sad
02,6.5,5.125,6.625,5.25,6.5,6.375,-3.375,-3.125,-3.25,3,-3.25,-3.5
03,5.25,5,6,4.5,5.625,5.375,-2.125,-1.625,-2.125,2.5,-2.375,-2.375
05,5.125,5.625,6.875,5.75,6.875,6.875,-2.375,-1.75,-2.375,3,-2.125,-3.25
07,5.375,5.5,6.625,4.875,5.75,6.25,-2.625,-2.375,-1.25,2.375,-2,-2.25
09,5.5,4.5,7,3.625,5.625,5.875,-2.125,-2.625,-2,2.5,-2.75,-3.125
10,6.625,4.125,6,4.25,5,5.5,-3.25,-3.25,-2,2.875,-2,-3.25
11,7,6.625,7.375,6.5,7.25,7.25,-2.375,-2,-2.125,2.375,-2.125,-2.25
12,4.5,3.75,5.625,2.5,6,3.75,-1.5,-1.5,-2.25,2.375,-2,-3.125
14,6.125,5,6.875,4.875,7,6.25,-2,-1.75,-2.875,2.125,-2.875,-2.5
15,6.375,5.25,6.25,5.75,6.875,6.75,1,1,1,1.875,2,2
16,4.25,4.875,7,4.125,6.75,4.875,-1.125,-1.25,-0.5,1.625,-0.5,-1.5
18,5.875,4.125,4.125,7.25,5.125,4.125,-3,-2.375,-2.375,2.5,-3.25,-3
19,6.25,4.5,7.625,3.625,5.5,5.375,-2.25,-2.5,-1.75,2.625,-1.875,-2.75
20,5.5,3.625,6.375,3.875,4.75,3.75,-1.375,-1.375,-1.625,1.875,-2.5,-3.25
21,7.125,6,7.5,4.625,7.625,7.125,-3.625,-2.25,-2.875,2,-3.25,-3.625
22,4.625,4.625,5.625,4,5,5.375,-2.125,-1.75,-1.875,1.5,-2.375,-2.75
23,5.375,4.75,6,5,5.875,5.875,-2.375,-2.5,-2.625,1.875,-2.5,-2.375
24,6.375,5.5,6.5,3.75,6.5,5.5,-2,-1.375,-1.5,1.875,-2.25,-2.25
26,6.5,5.75,6.75,6.25,7.5,6.25,-3,-3,-3,3,-2.75,-3
27,6.125,5.25,6.625,4.5,6,5.375,-2,-1.25,-1.5,2.625,-1.875,-2.25
28,6.125,4.125,6.75,4.625,6.375,4.75,-2.875,-2.25,-2.5,3,-2.75,-2.375
29,6.75,5.125,7.375,4.625,6.125,6,-2.125,-1.75,-2,2,-2,-2.625
30,4,5.125,5.5,4,5.75,5.25,-2.25,-3,-3,2.75,-3,-3
31,6.375,6,7.25,5.375,6.375,6.125,-2,-0.625,-1.875,3.875,-1.75,-2.625
32,6.375,6.25,7.5,5.25,7,6.125,-2.125,-2,-2.5,2.25,-2.625,-2.75
34,5.5,4,7.25,4.75,6.25,3,-2.75,-2.75,-3,2.5,-3,-3
