sub,run,movie_number,onset_sec,r_anger,r_disgust,r_fear,r_happy,r_pain,r_sad
2,1,1,310.21,8,0,0,0,0,0
2,1,2,82.8,8,0,0,0,0,0
2,1,3,379.32,8,0,0,0,0,0
2,1,4,258.13,9,0,0,0,0,0
2,1,5,415.17,0,0,0,0,8,0
2,1,6,182.78,10,0,0,0,0,0
2,1,7,139.72,9,0,0,0,0,0
2,1,8,31.95,9,0,0,0,0,0
2,1,9,44.74,0,7,0,0,0,0
2,1,10,327.4,0,8,0,0,0,0
2,1,11,174.1,0,9,0,0,0,0
2,1,12,296.66,0,9,0,0,0,0
2,1,13,119.04,0,10,0,0,0,0
2,1,14,374.24,0,10,0,0,0,0
2,1,15,213.99,0,10,0,0,0,0
2,1,16,438.79,0,10,0,0,0,0
2,1,17,385.42,0,0,8,0,0,0
2,1,18,253.4,0,0,8,0,0,0
2,1,19,133.14,0,0,7,0,0,0
2,1,20,203.84,0,0,9,0,0,0
2,1,21,76.98,0,0,10,0,0,0
2,1,22,432.01,0,0,10,0,0,0
2,1,23,341.29,0,0,10,0,0,0
2,1,24,37.35,0,0,9,0,0,0
2,1,25,334.9,0,0,0,7,0,0
2,1,26,394.93,0,0,0,7,0,0
2,1,27,421.74,0,0,0,7,0,0
2,1,28,87.49,0,0,0,8,0,0
2,1,29,168.51,0,0,0,10,0,0
2,1,30,269.1,0,0,0,9,0,0
2,1,31,52.6,0,0,0,10,0,0
2,1,32,223.25,0,0,0,8,0,0
2,1,33,232.84,0,0,0,0,8,0
2,1,34,58.96,0,0,0,0,7,0
2,1,35,355.25,0,0,0,0,8,0
2,1,36,303.24,0,0,0,0,8,0
2,1,37,451.93,0,0,0,0,10,0
2,1,38,123.95,0,0,0,0,10,0
2,1,39,109.9,0,0,0,0,10,0
2,1,40,289.24,0,0,0,0,10,0
2,1,41,238.56,0,0,0,0,0,8
2,1,42,98.9,0,0,0,0,0,8
2,1,43,26.3,0,0,0,0,0,8
2,1,44,444.67,0,0,0,0,3,8
2,1,45,279.49,0,0,0,0,0,10
2,1,46,157.33,0,0,0,0,0,10
2,1,47,364.03,0,0,0,0,0,10
2,1,48,320.05,0,0,0,0,0,10
2,1,49,21.39,0,0,0,0,0,0
2,1,50,407.18,0,0,0,0,0,0
2,1,51,401.24,0,0,0,0,0,0
2,1,52,149.75,0,0,0,0,0,0
2,1,53,246.79,0,0,0,0,0,0
2,1,54,193.22,0,0,0,0,0,0
2,1,55,347.36,0,0,0,0,0,0
2,1,56,69.3,0,0,0,0,0,0
2,2,1,401.43,8,0,0,0,0,0
2,2,2,211.5,8,0,0,0,0,0
2,2,3,99.18,8,0,0,0,0,0
2,2,4,280.74,9,0,0,0,0,0
2,2,5,67.11,0,0,0,0,8,0
2,2,6,305.35,10,0,0,0,0,0
2,2,7,177.57,9,0,0,0,0,0
2,2,8,387.3,9,0,0,0,0,0
2,2,9,339.97,0,7,0,0,0,0
2,2,10,168.4,0,8,0,0,0,0
2,2,11,392.88,0,9,0,0,0,0
2,2,12,220.3,0,9,0,0,0,0
2,2,13,121.85,0,10,0,0,0,0
2,2,14,415.85,0,10,0,0,0,0
2,2,15,25.53,0,10,0,0,0,0
2,2,16,260.43,0,10,0,0,0,0
2,2,17,57.11,0,0,8,0,0,0
2,2,18,225.97,0,0,8,0,0,0
2,2,19,82.81,0,0,7,0,0,0
2,2,20,266.09,0,0,9,0,0,0
2,2,21,446.12,0,0,10,0,0,0
2,2,22,366.33,0,0,10,0,0,0
2,2,23,142.35,0,0,10,0,0,0
2,2,24,299.2,0,0,9,0,0,0
2,2,25,158.54,0,0,0,7,0,0
2,2,26,234.71,0,0,0,7,0,0
2,2,27,72.39,0,0,0,7,0,0
2,2,28,250.95,0,0,0,8,0,0
2,2,29,36.8,0,0,0,10,0,0
2,2,30,438.73,0,0,0,9,0,0
2,2,31,325.63,0,0,0,10,0,0
2,2,32,351.36,0,0,0,8,0,0
2,2,33,41.96,0,0,0,0,8,0
2,2,34,116.06,0,0,0,0,7,0
2,2,35,433.87,0,0,0,0,8,0
2,2,36,130.61,0,0,0,0,8,0
2,2,37,372.92,0,0,0,0,10,0
2,2,38,240.39,0,0,0,0,10,0
2,2,39,197.4,0,0,0,0,10,0
2,2,40,317.86,0,0,0,0,10,0
2,2,41,426.16,0,0,0,0,0,8
2,2,42,152.15,0,0,0,0,0,8
2,2,43,291.69,0,0,0,0,0,8
2,2,44,105.96,0,0,0,0,3,8
2,2,45,312.07,0,0,0,0,0,10
2,2,46,381.57,0,0,0,0,0,10
2,2,47,202.12,0,0,0,0,0,10
2,2,48,47.68,0,0,0,0,0,10
2,2,49,31.18,0,0,0,0,0,0
2,2,50,88.42,0,0,0,0,0,0
2,2,51,271.71,0,0,0,0,0,0
2,2,52,409.72,0,0,0,0,0,0
2,2,53,332.54,0,0,0,0,0,0
2,2,54,135.23,0,0,0,0,0,0
2,2,55,361.63,0,0,0,0,0,0
2,2,56,187.04,0,0,0,0,0,0
2,3,1,36.95,8,0,0,0,0,0
2,3,2,318.5,8,0,0,0,0,0
2,3,3,251.87,8,0,0,0,0,0
2,3,4,199.83,9,0,0,0,0,0
2,3,5,354.86,0,0,0,0,8,0
2,3,6,119.06,10,0,0,0,0,0
2,3,7,416.58,9,0,0,0,0,0
2,3,8,474.62,9,0,0,0,0,0
2,3,9,372.84,0,7,0,0,0,0
2,3,10,462.92,0,8,0,0,0,0
2,3,11,26.25,0,9,0,0,0,0
2,3,12,108.38,0,9,0,0,0,0
2,3,13,231.51,0,10,0,0,0,0
2,3,14,276.41,0,10,0,0,0,0
2,3,15,159.45,0,10,0,0,0,0
2,3,16,394.91,0,10,0,0,0,0
2,3,17,167.65,0,0,8,0,0,0
2,3,18,455.82,0,0,8,0,0,0
2,3,19,281.72,0,0,7,0,0,0
2,3,20,125.97,0,0,9,0,0,0
2,3,21,62.48,0,0,10,0,0,0
2,3,22,340.8,0,0,10,0,0,0
2,3,23,240.35,0,0,10,0,0,0
2,3,24,382.34,0,0,9,0,0,0
2,3,25,309.7,0,0,0,7,0,0
2,3,26,402.37,0,0,0,7,0,0
2,3,27,217.23,0,0,0,7,0,0
2,3,28,45.76,0,0,0,8,0,0
2,3,29,186.8,0,0,0,10,0,0
2,3,30,142.66,0,0,0,9,0,0
2,3,31,335.46,0,0,0,10,0,0
2,3,32,447.11,0,0,0,8,0,0
2,3,33,298.83,0,0,0,0,8,0
2,3,34,328.18,0,0,0,0,7,0
2,3,35,89.85,0,0,0,0,8,0
2,3,36,153.29,0,0,0,0,8,0
2,3,37,223.06,0,0,0,0,10,0
2,3,38,410.68,0,0,0,0,10,0
2,3,39,71.11,0,0,0,0,10,0
2,3,40,469.81,0,0,0,0,10,0
2,3,41,52.23,0,0,0,0,0,8
2,3,42,386.94,0,0,0,0,0,8
2,3,43,208.92,0,0,0,0,0,8
2,3,44,96.89,0,0,0,0,3,8
2,3,45,346,0,0,0,0,0,10
2,3,46,435.27,0,0,0,0,0,10
2,3,47,293.14,0,0,0,0,0,10
2,3,48,179.07,0,0,0,0,0,10
2,3,49,133.97,0,0,0,0,0,0
2,3,50,267.16,0,0,0,0,0,0
2,3,51,193.94,0,0,0,0,0,0
2,3,52,80.21,0,0,0,0,0,0
2,3,53,441.77,0,0,0,0,0,0
2,3,54,364.99,0,0,0,0,0,0
2,3,55,425.82,0,0,0,0,0,0
2,3,56,261.35,0,0,0,0,0,0
2,4,1,95.76,8,0,0,0,0,0
2,4,2,249.58,8,0,0,0,0,0
2,4,3,172.56,8,0,0,0,0,0
2,4,4,377.66,9,0,0,0,0,0
2,4,5,191.91,0,0,0,0,8,0
2,4,6,346.04,10,0,0,0,0,0
2,4,7,70.04,9,0,0,0,0,0
2,4,8,445.34,9,0,0,0,0,0
2,4,9,259.43,0,7,0,0,0,0
2,4,10,197.55,0,8,0,0,0,0
2,4,11,392.3,0,9,0,0,0,0
2,4,12,411.97,0,9,0,0,0,0
2,4,13,121.04,0,10,0,0,0,0
2,4,14,329.45,0,10,0,0,0,0
2,4,15,149.55,0,10,0,0,0,0
2,4,16,74.69,0,10,0,0,0,0
2,4,17,84.69,0,0,8,0,0,0
2,4,18,267.02,0,0,8,0,0,0
2,4,19,460.08,0,0,7,0,0,0
2,4,20,54.98,0,0,9,0,0,0
2,4,21,144.86,0,0,10,0,0,0
2,4,22,233.71,0,0,10,0,0,0
2,4,23,315.35,0,0,10,0,0,0
2,4,24,371.78,0,0,9,0,0,0
2,4,25,440.58,0,0,0,7,0,0
2,4,26,277.26,0,0,0,7,0,0
2,4,27,103.18,0,0,0,7,0,0
2,4,28,363.44,0,0,0,8,0,0
2,4,29,300.27,0,0,0,10,0,0
2,4,30,34.77,0,0,0,9,0,0
2,4,31,161.06,0,0,0,10,0,0
2,4,32,223.06,0,0,0,8,0,0
2,4,33,116.35,0,0,0,0,8,0
2,4,34,304.96,0,0,0,0,7,0
2,4,35,401.96,0,0,0,0,8,0
2,4,36,241.71,0,0,0,0,8,0
2,4,37,61.89,0,0,0,0,10,0
2,4,38,180.33,0,0,0,0,10,0
2,4,39,430.15,0,0,0,0,10,0
2,4,40,211.83,0,0,0,0,10,0
2,4,41,284.93,0,0,0,0,0,8
2,4,42,356.99,0,0,0,0,0,8
2,4,43,44.17,0,0,0,0,0,8
2,4,44,324.02,0,0,0,0,3,8
2,4,45,421.1,0,0,0,0,0,10
2,4,46,206.98,0,0,0,0,0,10
2,4,47,107.79,0,0,0,0,0,10
2,4,48,138.89,0,0,0,0,0,10
2,4,49,294.27,0,0,0,0,0,0
2,4,50,384.93,0,0,0,0,0,0
2,4,51,128.54,0,0,0,0,0,0
2,4,52,185.69,0,0,0,0,0,0
2,4,53,335.96,0,0,0,0,0,0
2,4,54,450.49,0,0,0,0,0,0
2,4,55,23.77,0,0,0,0,0,0
2,4,56,133.73,0,0,0,0,0,0
2,5,1,23.94,8,0,0,0,0,0
2,5,2,433.5,8,0,0,0,0,0
2,5,3,268.12,8,0,0,0,0,0
2,5,4,392.75,9,0,0,0,0,0
2,5,5,81.48,0,0,0,0,8,0
2,5,6,314.84,10,0,0,0,0,0
2,5,7,147.42,9,0,0,0,0,0
2,5,8,180.93,9,0,0,0,0,0
2,5,9,257.47,0,7,0,0,0,0
2,5,10,186.34,0,8,0,0,0,0
2,5,11,68.1,0,9,0,0,0,0
2,5,12,139.88,0,9,0,0,0,0
2,5,13,422.1,0,10,0,0,0,0
2,5,14,359.22,0,10,0,0,0,0
2,5,15,89.47,0,10,0,0,0,0
2,5,16,290.23,0,10,0,0,0,0
2,5,17,329,0,0,8,0,0,0
2,5,18,443.8,0,0,8,0,0,0
2,5,19,124.63,0,0,7,0,0,0
2,5,20,119.68,0,0,9,0,0,0
2,5,21,36.4,0,0,10,0,0,0
2,5,22,206.9,0,0,10,0,0,0
2,5,23,238.77,0,0,10,0,0,0
2,5,24,349.33,0,0,9,0,0,0
2,5,25,154.59,0,0,0,7,0,0
2,5,26,367.01,0,0,0,7,0,0
2,5,27,52.85,0,0,0,7,0,0
2,5,28,95.25,0,0,0,8,0,0
2,5,29,214.37,0,0,0,10,0,0
2,5,30,321.16,0,0,0,9,0,0
2,5,31,449.27,0,0,0,10,0,0
2,5,32,274.88,0,0,0,8,0,0
2,5,33,232.95,0,0,0,0,8,0
2,5,34,106.48,0,0,0,0,7,0
2,5,35,196.43,0,0,0,0,8,0
2,5,36,376.11,0,0,0,0,8,0
2,5,37,169.65,0,0,0,0,10,0
2,5,38,401.41,0,0,0,0,10,0
2,5,39,30.87,0,0,0,0,10,0
2,5,40,304.12,0,0,0,0,10,0
2,5,41,247.59,0,0,0,0,0,8
2,5,42,296.45,0,0,0,0,0,8
2,5,43,223.13,0,0,0,0,0,8
2,5,44,134.1,0,0,0,0,3,8
2,5,45,406.53,0,0,0,0,0,10
2,5,46,381.21,0,0,0,0,0,10
2,5,47,59.23,0,0,0,0,0,10
2,5,48,73.39,0,0,0,0,0,10
2,5,49,335.41,0,0,0,0,0,0
2,5,50,111.5,0,0,0,0,0,0
2,5,51,42.18,0,0,0,0,0,0
2,5,52,281.65,0,0,0,0,0,0
2,5,53,174.73,0,0,0,0,0,0
2,5,54,164.51,0,0,0,0,0,0
2,5,55,412.34,0,0,0,0,0,0
2,5,56,344.21,0,0,0,0,0,0
2,6,1,456.65,8,0,0,0,0,0
2,6,2,25.45,8,0,0,0,0,0
2,6,3,126.4,8,0,0,0,0,0
2,6,4,257.22,9,0,0,0,0,0
2,6,5,366.97,0,0,0,0,8,0
2,6,6,324.47,10,0,0,0,0,0
2,6,7,235.09,9,0,0,0,0,0
2,6,8,176.99,9,0,0,0,0,0
2,6,9,407.64,0,7,0,0,0,0
2,6,10,298.25,0,8,0,0,0,0
2,6,11,218.74,0,9,0,0,0,0
2,6,12,242.98,0,9,0,0,0,0
2,6,13,414.47,0,10,0,0,0,0
2,6,14,78.2,0,10,0,0,0,0
2,6,15,143.53,0,10,0,0,0,0
2,6,16,136.43,0,10,0,0,0,0
2,6,17,120.12,0,0,8,0,0,0
2,6,18,154.46,0,0,8,0,0,0
2,6,19,274.38,0,0,7,0,0,0
2,6,20,339.81,0,0,9,0,0,0
2,6,21,390.15,0,0,10,0,0,0
2,6,22,436.79,0,0,10,0,0,0
2,6,23,210.83,0,0,10,0,0,0
2,6,24,49.22,0,0,9,0,0,0
2,6,25,291.01,0,0,0,7,0,0
2,6,26,169.84,0,0,0,7,0,0
