sub,run,movie_number,onset_sec,rating
2,1,1,310.21,5
2,1,2,82.8,2
2,1,3,379.32,3
2,1,4,258.13,6
2,1,5,415.17,7
2,1,6,182.78,6
2,1,7,139.72,6
2,1,8,31.95,7
2,1,9,44.74,4
2,1,10,327.4,3
2,1,11,174.1,5
2,1,12,296.66,3
2,1,13,119.04,6
2,1,14,374.24,6
2,1,15,213.99,6
2,1,16,438.79,7
2,1,17,385.42,5
2,1,18,253.4,4
2,1,19,133.14,6
2,1,20,203.84,4
2,1,21,76.98,7
2,1,22,432.01,8
2,1,23,341.29,6
2,1,24,37.35,8
2,1,25,334.9,3
2,1,26,394.93,3
2,1,27,421.74,2
2,1,28,87.49,3
2,1,29,168.51,6
2,1,30,269.1,6
2,1,31,52.6,7
2,1,32,223.25,6
2,1,33,232.84,5
2,1,34,58.96,4
2,1,35,355.25,4
2,1,36,303.24,5
2,1,37,451.93,7
2,1,38,123.95,7
2,1,39,109.9,6
2,1,40,289.24,7
2,1,41,238.56,3
2,1,42,98.9,3
2,1,43,26.3,4
2,1,44,444.67,6
2,1,45,279.49,7
2,1,46,157.33,6
2,1,47,364.03,6
2,1,48,320.05,8
2,1,49,21.39,1
2,1,50,407.18,1
2,1,51,401.24,1
2,1,52,149.75,1
2,1,53,246.79,1
2,1,54,193.22,1
2,1,55,347.36,2
2,1,56,69.3,2
2,2,1,401.43,5
2,2,2,211.5,2
2,2,3,99.18,3
2,2,4,280.74,6
2,2,5,67.11,7
2,2,6,305.35,6
2,2,7,177.57,6
2,2,8,387.3,7
2,2,9,339.97,4
2,2,10,168.4,3
2,2,11,392.88,5
2,2,12,220.3,3
2,2,13,121.85,6
2,2,14,415.85,6
2,2,15,25.53,6
2,2,16,260.43,7
2,2,17,57.11,5
2,2,18,225.97,4
2,2,19,82.81,6
2,2,20,266.09,4
2,2,21,446.12,7
2,2,22,366.33,8
2,2,23,142.35,6
2,2,24,299.2,8
2,2,25,158.54,3
2,2,26,234.71,3
2,2,27,72.39,2
2,2,28,250.95,3
2,2,29,36.8,6
2,2,30,438.73,6
2,2,31,325.63,7
2,2,32,351.36,6
2,2,33,41.96,5
2,2,34,116.06,4
2,2,35,433.87,4
2,2,36,130.61,5
2,2,37,372.92,7
2,2,38,240.39,7
2,2,39,197.4,6
2,2,40,317.86,7
2,2,41,426.16,3
2,2,42,152.15,3
2,2,43,291.69,4
2,2,44,105.96,6
2,2,45,312.07,7
2,2,46,381.57,6
2,2,47,202.12,6
2,2,48,47.68,8
2,2,49,31.18,1
2,2,50,88.42,1
2,2,51,271.71,1
2,2,52,409.72,1
2,2,53,332.54,1
2,2,54,135.23,1
2,2,55,361.63,2
2,2,56,187.04,2
2,3,1,36.95,5
2,3,2,318.5,2
2,3,3,251.87,3
2,3,4,199.83,6
2,3,5,354.86,7
2,3,6,119.06,6
2,3,7,416.58,6
2,3,8,474.62,7
2,3,9,372.84,4
2,3,10,462.92,3
2,3,11,26.25,5
2,3,12,108.38,3
2,3,13,231.51,6
2,3,14,276.41,6
2,3,15,159.45,6
2,3,16,394.91,7
2,3,17,167.65,5
2,3,18,455.82,4
2,3,19,281.72,6
2,3,20,125.97,4
2,3,21,62.48,7
2,3,22,340.8,8
2,3,23,240.35,6
2,3,24,382.34,8
2,3,25,309.7,3
2,3,26,402.37,3
2,3,27,217.23,2
2,3,28,45.76,3
2,3,29,186.8,6
2,3,30,142.66,6
2,3,31,335.46,7
2,3,32,447.11,6
2,3,33,298.83,5
2,3,34,328.18,4
2,3,35,89.85,4
2,3,36,153.29,5
2,3,37,223.06,7
2,3,38,410.68,7
2,3,39,71.11,6
2,3,40,469.81,7
2,3,41,52.23,3
2,3,42,386.94,3
2,3,43,208.92,4
