"Yeo7","Yeo17","HO_cort","anatomy_toolbox"
7,15,35,78
7,15,34,82
7,17,11,77
7,17,8,77
7,15,35,82
7,14,8,77
7,17,33,27
7,17,1,28
7,17,33,33
7,17,33,28
7,17,1,33
7,13,1,33
7,13,1,28
7,10,25,104
7,10,1,104
7,10,1,49
7,14,9,77
7,17,9,77
7,10,27,99
7,10,25,99
7,16,1,33
7,16,25,99
7,13,1,44
7,16,25,104
7,17,25,104
7,15,35,35
7,17,12,77
7,13,12,77
7,16,12,77
7,14,8,1
7,17,25,50
7,13,1,66
7,16,1,104
7,17,1,104
7,14,12,77
7,17,12,48
7,14,9,48
7,14,9,1
7,16,28,99
7,16,25,50
7,17,1,49
7,14,10,48
7,17,10,48
7,10,27,64
7,16,27,64
7,16,28,50
7,13,1,49
7,16,1,49
7,14,12,48
7,17,12,1
7,17,10,77
7,16,29,64
7,16,28,87
7,16,29,87
7,16,29,32
7,17,10,1
7,14,10,1
7,14,10,77
7,16,27,5
7,17,33,40
7,16,27,87
7,17,1,42
7,17,41,17
7,17,41,86
7,17,41,40
7,17,5,42
7,17,5,40
7,14,5,42
7,16,28,32
7,17,6,12
7,16,28,104
7,16,1,50
7,16,29,5
7,17,6,42
7,17,28,50
7,14,21,3
7,16,21,3
7,8,29,87
7,8,29,5
7,17,1,50
7,15,22,65
7,14,22,65
7,14,21,15
7,16,21,65
7,14,20,15
7,17,28,32
7,16,22,65
7,14,21,65
7,17,21,15
7,17,21,3
7,17,21,65
7,17,20,15
7,13,21,3
7,17,3,50
7,16,22,15
7,17,22,65
7,16,22,3
7,17,22,3
7,13,21,15
7,13,28,50
7,11,31,83
7,15,22,67
7,15,22,13
7,16,22,13
7,16,31,83
7,16,22,97
7,13,20,15
7,13,22,3
7,13,22,65
7,16,21,15
7,13,22,97
7,13,22,13
7,13,21,8
7,11,31,57
7,13,22,15
7,17,3,7
7,8,3,7
7,14,3,7
7,8,3,23
7,17,3,23
7,14,26,7
7,14,26,23
