filename,sub,rating,arousal,emotion,valence,2,3,9,11,12,15,19,20,22,23,26,28,29,32
sub_02_RSA_arousal.nii.gz,2,arousal,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sub_02_RSA_emotion.nii.gz,2,emotion,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sub_02_RSA_valence.nii.gz,2,valence,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sub_03_RSA_arousal.nii.gz,3,arousal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sub_03_RSA_emotion.nii.gz,3,emotion,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sub_03_RSA_valence.nii.gz,3,valence,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sub_09_RSA_arousal.nii.gz,9,arousal,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sub_09_RSA_emotion.nii.gz,9,emotion,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sub_09_RSA_valence.nii.gz,9,valence,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sub_11_RSA_arousal.nii.gz,11,arousal,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sub_11_RSA_emotion.nii.gz,11,emotion,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sub_11_RSA_valence.nii.gz,11,valence,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sub_12_RSA_arousal.nii.gz,12,arousal,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sub_12_RSA_emotion.nii.gz,12,emotion,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sub_12_RSA_valence.nii.gz,12,valence,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sub_15_RSA_arousal.nii.gz,15,arousal,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sub_15_RSA_emotion.nii.gz,15,emotion,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sub_15_RSA_valence.nii.gz,15,valence,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sub_19_RSA_arousal.nii.gz,19,arousal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sub_19_RSA_emotion.nii.gz,19,emotion,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sub_19_RSA_valence.nii.gz,19,valence,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sub_20_RSA_arousal.nii.gz,20,arousal,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sub_20_RSA_emotion.nii.gz,20,emotion,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sub_20_RSA_valence.nii.gz,20,valence,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sub_22_RSA_arousal.nii.gz,22,arousal,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sub_22_RSA_emotion.nii.gz,22,emotion,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sub_22_RSA_valence.nii.gz,22,valence,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sub_23_RSA_arousal.nii.gz,23,arousal,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sub_23_RSA_emotion.nii.gz,23,emotion,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sub_23_RSA_valence.nii.gz,23,valence,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sub_26_RSA_arousal.nii.gz,26,arousal,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sub_26_RSA_emotion.nii.gz,26,emotion,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sub_26_RSA_valence.nii.gz,26,valence,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sub_28_RSA_arousal.nii.gz,28,arousal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sub_28_RSA_emotion.nii.gz,28,emotion,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sub_28_RSA_valence.nii.gz,28,valence,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sub_29_RSA_arousal.nii.gz,29,arousal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sub_29_RSA_emotion.nii.gz,29,emotion,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sub_29_RSA_valence.nii.gz,29,valence,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sub_32_RSA_arousal.nii.gz,32,arousal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sub_32_RSA_emotion.nii.gz,32,emotion,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sub_32_RSA_valence.nii.gz,32,valence,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
