Emotion_Type,high_low,mean,std,standardized_mean
Anger,high,2394236.8049295642,447714.68365957815,0.19790715570805245
Anger,low,1740219.7574378191,168271.03663755395,-0.5406123585419118
Disgust,high,2606445.7670707707,484499.5978987188,0.4375346397943766
Disgust,low,1683093.6245962917,477442.57443383016,-0.6051194903344302
Fear,high,3806623.226759692,788190.5657184353,1.7927813844205642
Fear,low,2246790.0368717797,447670.67204293876,0.03140948421557259
Happy,high,2357913.0067802127,539089.1635371225,0.15689013043653396
Happy,low,1349050.776165974,174353.4288632277,-0.9823224441527653
Pain,high,4067631.3774419925,1374208.4837181035,2.087513170688883
Pain,low,2316165.7165007214,586910.6476397777,0.10974886912430289
Sadness,high,2540816.2866608975,332366.68078143627,0.3634254828868285
Sadness,low,1712651.635672177,593289.8230959228,-0.5717424276635472
