original_code,high_low_code
AK_A_04,AK_A_low
AK_A_32,AK_A_high
AK_D_02,AK_D_low
AK_D_12,AK_D_high
AK_F_02,AK_F_low
AK_F_24,AK_F_high
AK_H_15,AK_H_high
AK_H_28,AK_H_low
AK_N_01,AK_N_low
AK_N_09,AK_N_high
AK_P_21,AK_P_high
AK_P_59,AK_P_low
AK_S_06,AK_S_low
AK_S_23,AK_S_high
AL_A_03,AL_A_low
AL_A_20,AL_A_high
AL_D_12,AL_D_low
AL_D_29,AL_D_high
AL_F_08,AL_F_low
AL_F_46,AL_F_high
AL_H_03,AL_H_low
AL_H_31,AL_H_high
AL_N_01,AL_N_low
AL_N_06,AL_N_high
AL_P_20,AL_P_low
AL_P_39,AL_P_high
AL_S_04,AL_S_low
AL_S_53,AL_S_high
BP_A_10,BP_A_low
BP_A_41,BP_A_high
BP_D_03,BP_D_low
BP_D_25,BP_D_high
BP_F_02,BP_F_low
BP_F_46,BP_F_high
BP_H_05,BP_H_low
BP_H_16,BP_H_high
BP_N_01,BP_N_low
BP_N_07,BP_N_high
BP_P_02,BP_P_low
BP_P_18,BP_P_high
BP_S_13,BP_S_low
BP_S_18,BP_S_high
JvG_A_14,JvG_A_low
JvG_A_19,JvG_A_high
JvG_D_02,JvG_D_low
JvG_D_23,JvG_D_high
JvG_F_01,JvG_F_low
JvG_F_13,JvG_F_high
JvG_H_03,JvG_H_low
JvG_H_18,JvG_H_high
JvG_N_08,JvG_N_low
JvG_N_17,JvG_N_high
JvG_P_16,JvG_P_low
JvG_P_20,JvG_P_high
JvG_S_12,JvG_S_low
JvG_S_24,JvG_S_high
